"stock","year","mean","se","cv","obs"
"NorthernYukonR.andtribs.",1985,2157.26734377991,0.719971858347967,0.33374252867818,1
"NorthernYukonR.andtribs.",1986,5156.29507567868,0.752004044032503,0.145841933596774,1
"NorthernYukonR.andtribs.",1987,4784.73608367727,1.37723879217263,0.287840074789279,1
"NorthernYukonR.andtribs.",1988,2929.66136867505,1.18222411239428,0.403536096367666,1
"NorthernYukonR.andtribs.",1989,9033.18683581865,0.582364826668569,0.0644694765261978,1
"NorthernYukonR.andtribs.",1990,11277.7828918347,1.41031302338731,0.125052329603578,1
"NorthernYukonR.andtribs.",1991,14785.1296349107,1.67975022332499,0.113610787649691,1
"NorthernYukonR.andtribs.",1992,10232.7173862442,0.724062276347879,0.0707595303395393,1
"NorthernYukonR.andtribs.",1993,12069.3631701757,1.31257221090857,0.108752399973516,1
"NorthernYukonR.andtribs.",1994,12913.1482702204,1.37764487860473,0.106685437956426,1
"NorthernYukonR.andtribs.",1995,11696.5643946648,2.23980597547409,0.191492638342225,1
"NorthernYukonR.andtribs.",1996,7286.1278448784,1.62797355064153,0.223434667261002,1
"NorthernYukonR.andtribs.",1997,10123.8118423099,0.367370189820128,0.0362877338637209,1
"NorthernYukonR.andtribs.",1998,5098.66601718785,2.17220223442179,0.426033442296317,1
"NorthernYukonR.andtribs.",1999,4712.48202296648,2.58541581623858,0.548631443820569,1
"NorthernYukonR.andtribs.",2000,4503.8250921062,1.15787937718107,0.257087998201901,1
"NorthernYukonR.andtribs.",2001,7972.51111770564,0.880448329995896,0.110435509840879,1
"NorthernYukonR.andtribs.",2002,6073.13965442,0.581773380540983,0.0957945006447483,1
"NorthernYukonR.andtribs.",2003,16695.7403189763,1.26997344189525,0.0760657160228951,1
"NorthernYukonR.andtribs.",2004,12281.1310702507,0.681976395182794,0.0555304223431655,1
"NorthernYukonR.andtribs.",2005,9506.29200119162,0.173559498349873,0.0182573287595328,1
"NorthernYukonR.andtribs.",2006,10316.1788458899,0.731063408135523,0.0708657167597272,1
"NorthernYukonR.andtribs.",2007,4737.1686995845,1.25880159741276,0.265728682519406,1
"NorthernYukonR.andtribs.",2008,5481.59340109633,0.419738615933832,0.0765723732537117,1
"NorthernYukonR.andtribs.",2009,7558.80419171298,1.67912780680003,0.222141990215982,1
"NorthernYukonR.andtribs.",2010,1925.12393838362,1.02452757663336,0.532187853574547,1
"NorthernYukonR.andtribs.",2011,4276.96519787669,3.19100737105167,0.746091497923773,1
"NorthernYukonR.andtribs.",2012,4274.98099138686,2.06202198672436,0.482346469113869,1
"NorthernYukonR.andtribs.",2013,6576.35516675808,0.305679848756158,0.0464816514626974,1
"NorthernYukonR.andtribs.",2014,4743.66851028868,2.19532936984865,0.462791479861448,1
"NorthernYukonR.andtribs.",2015,4914.46391083816,2.01320092179516,0.409648124051807,1
"NorthernYukonR.andtribs.",2016,5946.69877063905,1.30206052413173,0.21895518410323,1
"NorthernYukonR.andtribs.",2017,6081.76537291495,3.97121107932284,0.652970122295176,1
"NorthernYukonR.andtribs.",2018,5606.98367710796,0.504145104828142,0.0899137814305493,1
"NorthernYukonR.andtribs.",2019,2822.82227769957,4.8561665686834,1.72032316984578,1
"NorthernYukonR.andtribs.",2020,5036.94320724329,2.68226644241355,0.532518698752918,1
"NorthernYukonR.andtribs.",2021,2996.74597329627,0.159547584081981,0.0532402764544257,1
"NorthernYukonR.andtribs.",2022,2113.50556041883,1.96287273162805,0.928728444527524,1
"NorthernYukonR.andtribs.",2023,2080.72038609345,2.28446860529084,1.09792196037447,1
"Whiteandtribs.",1985,2527.44699926001,0.758631804310697,0.30015735425226,1
"Whiteandtribs.",1986,5031.98235357956,7.39366894266065,1.46933522876945,1
"Whiteandtribs.",1987,2438.05053915599,1.53002111785608,0.627559229508733,1
"Whiteandtribs.",1988,6190.3347128366,9.50496225711746,1.53545207134074,1
"Whiteandtribs.",1989,1122.8390310669,3.75402904390143,3.34333679185913,1
"Whiteandtribs.",1990,4253.23849543779,0.131817334459181,0.0309922273581822,1
"Whiteandtribs.",1991,1286.91547456329,3.70565929467749,2.87948926555181,1
"Whiteandtribs.",1992,4752.67681342832,2.36831015565937,0.498310793817894,1
"Whiteandtribs.",1993,9538.9667551681,0.679302469461461,0.0712134224698313,1
"Whiteandtribs.",1994,8798.93018600067,1.53640430597199,0.174612626023156,1
"Whiteandtribs.",1995,3503.60450725485,0.604453845334716,0.172523423829112,1
"Whiteandtribs.",1996,10278.7534470559,1.51450739129541,0.147343488594836,1
"Whiteandtribs.",1997,4895.94101596474,0.879328958086865,0.179603666633144,1
"Whiteandtribs.",1998,4141.19895339597,0.214146016201923,0.0517111152137025,1
"Whiteandtribs.",1999,3854.10552160683,1.04621976374759,0.271455920934778,1
"Whiteandtribs.",2000,4829.77950418496,1.98612102609491,0.411223954297283,1
"Whiteandtribs.",2001,5129.53905297647,0.957436964163027,0.186651657054344,1
"Whiteandtribs.",2002,2660.31206224129,1.73671126438467,0.652822384649681,1
"Whiteandtribs.",2003,4435.4827973441,1.17438213924813,0.26476985548255,1
"Whiteandtribs.",2004,3880.09871653167,2.11717001708947,0.545648492928542,1
"Whiteandtribs.",2005,4142.4561297342,1.01376773249959,0.244726244708508,1
"Whiteandtribs.",2006,3041.83022488973,0.251981952431408,0.0828389271595664,1
"Whiteandtribs.",2007,3034.87017602538,2.00373287487856,0.660236767525506,1
"Whiteandtribs.",2008,2182.45709367671,2.20431839682336,1.01001683066759,1
"Whiteandtribs.",2009,3450.11476070416,1.04404924171157,0.302612902504868,1
"Whiteandtribs.",2010,727.639973089272,2.049217047786,2.81625133798771,1
"Whiteandtribs.",2011,1980.70413164622,1.98785139791645,1.00360844719615,1
"Whiteandtribs.",2012,2699.08418259553,1.05179058242295,0.389684245198871,1
"Whiteandtribs.",2013,38.1810243540594,0.469488073067076,12.2963718498862,1
"Whiteandtribs.",2014,4460.14615345967,0.306411412765049,0.0686998592024548,1
"Whiteandtribs.",2015,4690.8896791224,1.08077765171325,0.230399290037332,1
"Whiteandtribs.",2016,2490.02582017573,1.30519480969765,0.524169186970735,1
"Whiteandtribs.",2017,3218.65755693565,0.713061331889714,0.221539980341553,1
"Whiteandtribs.",2018,2842.64559988273,1.59591467685802,0.561418798362996,1
"Whiteandtribs.",2019,1968.91413883978,1.33942756429156,0.680287442641271,1
"Whiteandtribs.",2020,1374.98205750463,1.17916960812002,0.857589087569641,1
"Whiteandtribs.",2021,1195.82353859448,0.837025410353588,0.699957295820915,1
"Whiteandtribs.",2022,103.090765293767,0.563174839372317,5.46290288725178,1
"Whiteandtribs.",2023,940.348468299702,0.871560763715826,0.926848708853373,1
"Pelly",1985,7572.35779521503,1.34373748679681,0.177452984015879,1
"Pelly",1986,14725.1329434602,0.686291453377415,0.0466068086456371,1
"Pelly",1987,10566.4172520647,1.69332394133975,0.160255259748414,1
"Pelly",1988,7062.77886166907,1.17910432525403,0.16694623296975,1
"Pelly",1989,7709.50162560215,1.61726679587974,0.209775790241619,1
"Pelly",1990,12895.6215948646,1.44717125136545,0.112221907313235,1
"Pelly",1991,10152.8585446513,0.880460111731801,0.0867204155223496,1
"Pelly",1992,14610.1397094761,1.61309267012685,0.110409120118174,1
"Pelly",1993,6872.77430122497,2.907469096497,0.423041550481119,1
"Pelly",1994,8054.35799748767,1.33783596862033,0.166100882160642,1
"Pelly",1995,7440.31613711616,1.6255709427837,0.218481434501756,1
"Pelly",1996,7992.47805100345,1.9212062422242,0.240376793025162,1
"Pelly",1997,9494.89108988791,1.53106791429035,0.161251761583758,1
