year,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
sample_size,91,141,0,149,149,148,0,0,0,147,149,149,149,149,146,150,0,147,148,149,150,148,131,142,0,0,452,646,467,497,344,293,712,1026,728
Upper Lakes and Mainstem,1.8,3.1,0,2.2,2.2,2.6,0,0,0,7.8,2.4,2.8,3.9,7.7,4.8,7.5,0,4.3,6.4,0,1.6,2.7,3.5,3.1,0,0,1.7,3.1,7.7,4.7,6.6,6.8,4.1,4.6,6.6
Teslin,27.6,43.7,0,38.1,33.5,27.6,0,0,0,29,18.8,19.3,19,29,21,33.3,0,19.6,18.3,12.8,22.5,11.9,18.6,32.7,0,0,21.7,24.8,34.1,27.4,36.1,33.8,31.2,25.4,35
Carmacks,3.8,17.5,0,15.1,14.2,9.7,0,0,0,13.5,8.2,8,13.5,13.4,23.6,22.9,0,18.5,20,8.9,7.6,16.3,15,16.1,0,0,9.4,18,15.8,13,14.5,15.7,12.2,17.5,16.4
Middle Mainstem,2.5,8,0,5,1.1,5,0,0,0,8,12.9,11.2,5.6,12.4,5.6,0.9,0,15.1,11.7,2.8,29.5,5.6,8.5,0.8,0,0,27.5,2.6,11.5,13.8,18.1,21.3,21.1,16,11.8
Pelly,11.8,7.7,0,20.2,20.7,31.9,0,0,0,17.5,22.8,13.2,17,9.9,12.2,11.2,0,13.4,21.3,25.5,7.3,26.9,21.7,22.1,0,0,17.6,25,12.9,23.6,9,15.3,16.8,18.2,15.3
Stewart,20.7,8.7,0,9.4,13,10.6,0,0,0,10,11.5,8,10.4,16,8.3,9.2,0,9.4,1.4,9.5,17.4,5.6,6.4,2.6,0,0,8.6,10.5,10.8,6.1,8.8,3.9,7.3,8.2,8
Lower Mainstem,17,7.9,0,6.6,7.6,3.9,0,0,0,11.5,12.5,20.9,18.2,7.3,5.9,8.5,0,8.6,5.5,25.8,13.7,21.4,18.6,15.2,0,0,7.5,9.2,3.3,6.7,2.8,0.7,2.6,4.4,4.2
White-Donjek,14.8,3.5,0,3.6,7.8,8.8,0,0,0,2.6,10.9,16.6,12.3,4.3,18.5,6.7,0,11.1,15.3,14.5,0.4,9.7,7.7,7.4,0,0,6,6.8,3.8,4.8,3.9,2.4,4.9,5.6,2.7
