year,estimate,system,type,CU,
2015,586,whitehorse,fishway,UpperYukonR.,
2016,902,whitehorse,fishway,UpperYukonR.,
2017,748,whitehorse,fishway,UpperYukonR.,
2018,435,whitehorse,fishway,UpperYukonR.,
2019,245,whitehorse,fishway,UpperYukonR.,
2020,164,whitehorse,fishway,UpperYukonR.,
2021,175,whitehorse,fishway,UpperYukonR.,
2022,99,whitehorse,fishway,UpperYukonR.,
2023,80,whitehorse,fishway,UpperYukonR.,
1995,826,blindcreek,weir,Pelly,
1996,,blindcreek,weir,Pelly,
1997,957,blindcreek,weir,Pelly,
1998,373,blindcreek,weir,Pelly,
1999,892,blindcreek,weir,Pelly,
2000,,blindcreek,weir,Pelly,
2001,,blindcreek,weir,Pelly,
2002,,blindcreek,weir,Pelly,
2003,1155,blindcreek,weir,Pelly,
2004,792,blindcreek,weir,Pelly,
2005,525,blindcreek,weir,Pelly,
2006,677,blindcreek,weir,Pelly,
2007,304,blindcreek,weir,Pelly,
2008,276,blindcreek,weir,Pelly,
2009,716,blindcreek,weir,Pelly,
2010,270,blindcreek,weir,Pelly,
2011,360,blindcreek,weir,Pelly,
2012,157,blindcreek,weir,Pelly,
2013,312,blindcreek,weir,Pelly,
2014,602,blindcreek,weir,Pelly,
2015,964,blindcreek,weir,Pelly,
2016,664,blindcreek,weir,Pelly,
2017,,blindcreek,weir,Pelly,
2018,612,blindcreek,weir,Pelly,
2016,5807,pelly,sonar,Pelly,
2017,9081,pelly,sonar,Pelly,
2018,9751,pelly,sonar,Pelly,
2019,6927,pelly,sonar,Pelly,
2020,5678,pelly,sonar,Pelly,
2021,4980,pelly,sonar,Pelly,
2022,,pelly,sonar,Pelly,
2023,1696,pelly,sonar,Pelly,
2005,5618,bigsalmon,sonar,BigSalmonR,
2006,7308,bigsalmon,sonar,BigSalmonR,
2007,4506,bigsalmon,sonar,BigSalmonR,
2008,1329,bigsalmon,sonar,BigSalmonR,
2009,9261,bigsalmon,sonar,BigSalmonR,
2010,3817,bigsalmon,sonar,BigSalmonR,
2011,5156,bigsalmon,sonar,BigSalmonR,
2012,2584,bigsalmon,sonar,BigSalmonR,
2013,3242,bigsalmon,sonar,BigSalmonR,
2014,6321,bigsalmon,sonar,BigSalmonR,
2015,10078,bigsalmon,sonar,BigSalmonR,
2016,6761,bigsalmon,sonar,BigSalmonR,
2017,5672,bigsalmon,sonar,BigSalmonR,
2018,5159,bigsalmon,sonar,BigSalmonR,
2019,3874,bigsalmon,sonar,BigSalmonR,
2020,1635,bigsalmon,sonar,BigSalmonR,
2021,1958,bigsalmon,sonar,BigSalmonR,
2022,,bigsalmon,sonar,BigSalmonR,
2023,1795,bigsalmon,sonar,BigSalmonR,
2009,5147,klondike,sonar,NorthernYukonR.andtribs.,
2010,803,klondike,sonar,NorthernYukonR.andtribs.,
2011,1181,klondike,sonar,NorthernYukonR.andtribs.,
2012,,klondike,sonar,NorthernYukonR.andtribs.,
2013,,klondike,sonar,NorthernYukonR.andtribs.,
2014,,klondike,sonar,NorthernYukonR.andtribs.,
2015,,klondike,sonar,NorthernYukonR.andtribs.,
2016,,klondike,sonar,NorthernYukonR.andtribs.,
2017,,klondike,sonar,NorthernYukonR.andtribs.,
2018,,klondike,sonar,NorthernYukonR.andtribs.,
2019,,klondike,sonar,NorthernYukonR.andtribs.,
2020,470,klondike,sonar,NorthernYukonR.andtribs.,
2021,855,klondike,sonar,NorthernYukonR.andtribs.,
2022,253,klondike,sonar,NorthernYukonR.andtribs.,
2023,280,klondike,sonar,NorthernYukonR.andtribs.,
2012,3454,teslin,sonar,YukonR.Teslinheadwaters,
2012,9916,teslin,sonar,YukonR.Teslinheadwaters,
2012,17507,teslin,sonar,YukonR.Teslinheadwaters,
2012,20463,teslin,sonar,YukonR.Teslinheadwaters,
2014,3066,porcupine,sonar,Porcupine,
2015,4851,porcupine,sonar,Porcupine,
2016,6665,porcupine,sonar,Porcupine,
2017,1191,porcupine,sonar,Porcupine,
2018,3414,porcupine,sonar,Porcupine,
2019,4740,porcupine,sonar,Porcupine,
2020,,porcupine,sonar,Porcupine,
2021,409,porcupine,sonar,Porcupine,
2022,349,porcupine,sonar,Porcupine,
2023,512,porcupine,sonar,Porcupine,
2017,1872,takhihi,sonar,UpperYukonR.,
2018,1554,takhihi,sonar,UpperYukonR.,
2019,,takhihi,sonar,UpperYukonR.,
2020,,takhihi,sonar,UpperYukonR.,
2021,247,takhihi,sonar,UpperYukonR.,
2022,476,takhihi,sonar,UpperYukonR.,
2023,355,takhihi,sonar,UpperYukonR.,
